Abkhazia	Abkhaz, Abkhazian	Abkhazians
Afghanistan	Afghan	Afghans
Åland Islands	Åland Island	Åland Islanders
Albania	Albanian	Albanians
Algeria	Algerian	Algerians
American Samoa	American Samoan	American Samoans
Andorra	Andorran	Andorrans
Angola	Angolan	Angolans
Anguilla	Anguillan	Anguillans
Antarctica	Antarctic	Antarctic residents
Antigua and Barbuda	Antiguan or Barbudan	Antiguans or Barbudans
Argentina	Argentine, Argentinian	Argentines, Argentinians
Armenia	Armenian	Armenians
Aruba	Aruban	Arubans
Australia	Australian	Australians
Austria	Austrian	Austrians
Azerbaijan	Azerbaijani, Azeri	Azerbaijanis, Azeris
Bahamas, The	Bahamian	Bahamians
Bahrain	Bahraini	Bahrainis
Bangladesh	Bangladeshi	Bangladeshis
Barbados	Barbadian	Barbadians
Belarus	Belarusian	Belarusians
Belgium	Belgian	Belgians
Belize	Belizean	Belizeans
Benin	Beninese, Beninois	Beninese, Beninois
Bermuda	Bermudian, Bermudan	Bermudians, Bermudans
Bhutan	Bhutanese	Bhutanese
Bolivia, Plurinational State of	Bolivian	Bolivians
Bonaire	Bonaire, Bonairean	Bonaire Dutch
Bosnia and Herzegovina	Bosnian or Herzegovinian	Bosnians or Herzegovinians
Botswana	Motswana, Botswanan	Batswana
Bouvet Island	Bouvet Island	Bouvet Islanders
Brazil	Brazilian	Brazilians
British Indian Ocean Territory	BIOT	British
Brunei	Bruneian	Bruneians
Bulgaria	Bulgarian	Bulgarians
Burkina Faso	Burkinabé	Burkinabè, Burkinabé
Burma	Burmese	Burmese, Burman
Burundi	Burundian	Burundians, Barundi
Cabo Verde	Cabo Verdean	Cabo Verdeans
Cambodia	Cambodian	Cambodians
Cameroon	Cameroonian	Cameroonians
Canada	Canadian	Canadians
Cayman Islands	Caymanian	Caymanians
Central African Republic	Central African	Central Africans
Chad	Chadian	Chadians
Chile	Chilean	Chileans
China, People's Republic of	Chinese	Chinese
Christmas Island	Christmas Island	Christmas Islanders
Cocos Islands	Cocos Island	Cocos Islanders
Colombia	Colombian	Colombians
Comoros	Comoran, Comorian	Comorans, Comorians
Congo, Democratic Republic of the	Congolese	Congolese
Congo, Republic of the	Congolese	Congolese
Cook Islands	Cook	Cook Islanders
Costa Rica	Costa Rican	Costa Ricans
Croatia	Croatian	Croatians, Croats
Cuba	Cuban	Cubans
Curaçao	Curaçaoan	Curaçaoans
Cyprus	Cypriot	Cypriots
Czech Republic	Czech	Czechs
Denmark	Danish	Danes
Djibouti	Djiboutian	Djiboutians
Dominica	Dominican	Dominicans
Dominican Republic	Dominican	Dominicans
East Timor	Timorese	Timorese
Ecuador	Ecuadorian	Ecuadorians
Egypt	Egyptian	Egyptians
El Salvador	Salvadoran	Salvadorans, Salvadorians, Salvadoreans
England	English	English, Englishmen, Englishwomen
Equatorial Guinea	Equatorial Guinean, Equatoguinean	Equatorial Guineans, Equatoguineans
Eritrea	Eritrean	Eritreans
Estonia	Estonian	Estonians
Eswatini	Swazi, Swati	Swazis
Ethiopia	Ethiopian	Ethiopians, Habesha
European Union	European	Europeans
Falkland Islands	Falkland Island	Falkland Islanders
Faroe Islands	Faroese	Faroese
Fiji	Fijian	Fijians
Finland	Finnish	Finns
France	French	French, Frenchmen, Frenchwomen
French Guiana	French Guianese	French Guianese
French Polynesia	French Polynesian	French Polynesians
French Southern Territories	French Southern Territories	French
Gabon	Gabonese	Gabonese, Gabonaise
Gambia, The	Gambian	Gambians
Georgia	Georgian	Georgians
Germany	German	Germans
Ghana	Ghanaian	Ghanaians
Gibraltar	Gibraltar	Gibraltarians
Greece	Greek, Hellenic	Greeks, Hellenes
Greenland	Greenlandic	Greenlanders
Grenada	Grenadian	Grenadians
Guadeloupe	Guadeloupe	Guadeloupians, Guadeloupeans
Guam	Guamanian	Guamanians
Guatemala	Guatemalan	Guatemalans
Guernsey	Channel Island	Channel Islanders
Guinea	Guinean	Guineans
Guinea-Bissau	Bissau-Guinean	Bissau-Guineans
Guyana	Guyanese	Guyanese
Haiti	Haitian	Haitians
Heard Island and McDonald Islands	Heard Island or McDonald Islands	Heard Islanders or McDonald Islander
Honduras	Honduran	Hondurans
Hong Kong	Hong Kong, Cantonese, Hong Konger	Hongkongers, Hong Kongese
Hungary	Hungarian, Magyar	Hungarians, Magyars
Iceland	Icelandic	Icelanders
India	Indian	Indians
Indonesia	Indonesian	Indonesians
Iran, Islamic Republic of	Iranian, Persian	Iranians, Persians
Iraq	Iraqi	Iraqis
Ireland	Irish	Irish, Irishmen, Irishwomen
Isle of Man	Manx	Manx
Israel	Israeli, Israelite	Israelis
Italy	Italian	Italians
Ivory Coast	Ivorian	Ivorians
Jamaica	Jamaican	Jamaicans
Jan Mayen	Jan Mayen	Jan Mayen residents
Japan	Japanese	Japanese
Jersey	Channel Island	Channel Islanders
Jordan	Jordanian	Jordanians
Kazakhstan	Kazakhstani, Kazakh	Kazakhstanis, Kazakhs
Kenya	Kenyan	Kenyans
Kiribati	Kiribati	I-Kiribati
Korea, Democratic People's Republic of	North Korean	Koreans, North Koreans
Korea, Republic of	South Korean	Koreans, South Koreans
Kosovo	Kosovar, Kosovan	Kosovars
Kuwait	Kuwaiti	Kuwaitis
Kyrgyzstan	Kyrgyzstani, Kyrgyz, Kirgiz, Kirghiz	Kyrgyzstanis, Kyrgyz, Kirgiz, Kirghiz
Lao People's Democratic Republic	Lao, Laotian	Laos, Laotians
Latvia	Latvian, Lettish	Latvians, Letts
Lebanon	Lebanese	Lebanese
Lesotho	Lesothan, Basotho	Basotho
Liberia	Liberian	Liberians
Libya	Libyan	Libyans
Liechtenstein	Liechtensteiner	Liechtensteiners
Lithuania	Lithuanian	Lithuanians
Luxembourg	Luxembourg, Luxembourgish	Luxembourgers
Macau	Macanese	Macanese, Chinese
Madagascar	Malagasy	Malagasy
Malawi	Malawian	Malawians
Malaysia	Malaysian	Malaysians
Maldives	Maldivian	Maldivians
Mali	Malian, Malinese	Malians
Malta	Maltese	Maltese
Marshall Islands	Marshallese	Marshallese
Martinique	Martiniquais, Martinican	Martiniquais, Martiniquaises
Mauritania	Mauritanian	Mauritanians
Mauritius	Mauritian	Mauritians
Mayotte	Mahoran	Mahorans
